COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
COMP 1010,B11 (24635),Introductory Computer Science 1 (0),M,"Sep 03 - Dec 08, 13:00-14:15 (R)",
COMP 1012,B01 (11761),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 09:30-10:20 (W)",Shaiful Chowdhury
COMP 1012,B16 (24642),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 17:00-17:50 (F)",Shaiful Chowdhury
COMP 1012,B03 (25579),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 10:30-11:20 (W)",Shaiful Chowdhury
COMP 1012,B10 (25582),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 17:00-17:50 (W)",Shaiful Chowdhury
COMP 1012,B04 (11763),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 11:30-12:20 (W)",Shaiful Chowdhury
COMP 1012,B14 (11769),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 11:30-12:20 (F)",Shaiful Chowdhury
COMP 1012,B05 (25580),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 11:30-12:20 (W)",Shaiful Chowdhury
COMP 1012,B06 (11766),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 13:30-14:20 (W)",Shaiful Chowdhury
COMP 1012,B13 (11768),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 10:30-11:20 (F)",Shaiful Chowdhury
COMP 1012,B07 (11764),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 14:30-15:20 (W)",Shaiful Chowdhury
COMP 1012,B08 (11765),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 16:00-16:50 (W)",Shaiful Chowdhury
COMP 1012,B12 (11767),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 09:30-10:20 (F)",Shaiful Chowdhury
COMP 1012,B11 (25578),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 17:00-17:50 (W)",Shaiful Chowdhury
COMP 1012,B15 (24643),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 14:30-15:20 (F)",Shaiful Chowdhury
COMP 1012,B09 (25581),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 16:00-16:50 (W)",Shaiful Chowdhury
COMP 1012,B02 (11762),Computer Programming for Scientists and Engineers (0),M,"Sep 03 - Dec 08, 10:30-11:20 (W)",Shaiful Chowdhury
COMP 1012,A01 (11759),Computer Programming for Scientists and Engineers (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Connor Hryhoruk
COMP 1012,A03 (25577),Computer Programming for Scientists and Engineers (3),M,"Sep 03 - Dec 08, 19:00-19:50 (MWF)",Joshua Hernandez
COMP 1012,A02 (11760),Computer Programming for Scientists and Engineers (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Shaiful Chowdhury
COMP 1020,B05 (26434),Introductory Computer Science 2 (0),M,"Sep 03 - Dec 08, 17:30-18:45 (R)",Jessica Watson
COMP 1020,B04 (26433),Introductory Computer Science 2 (0),M,"Sep 03 - Dec 08, 16:00-17:15 (R)",Jessica Watson
COMP 1020,B03 (26432),Introductory Computer Science 2 (0),M,"Sep 03 - Dec 08, 14:30-15:45 (R)",Jessica Watson
COMP 1020,B02 (26431),Introductory Computer Science 2 (0),M,"Sep 03 - Dec 08, 13:00-14:15 (R)",Jessica Watson
COMP 1020,A01 (25295),Introductory Computer Science 2 (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Jessica Watson
COMP 1020,B01 (26430),Introductory Computer Science 2 (0),M,"Sep 03 - Dec 08, 11:30-12:45 (R)",Jessica Watson
COMP 1500,A01 (25841),Computing: Ideas and Innovation (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Leqi Zhu
COMP 1600,A01 (25842),Navigating Your Digital World (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Christina Penner
COMP 2002,A01 (24644),Tools and Techniques in Computer Science 1 (1.5),M,"Sep 03 - Dec 08, 14:30-15:45 (M)",John Braico
COMP 2080,A01 (23405),Algorithms: Design and Implementation (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Jennifer Vaughan
COMP 2140,A02 (12117),Data Structures: Analysis and Implementation (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Avery Miller
COMP 2140,A01 (10153),Data Structures: Analysis and Implementation (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Jennifer Vaughan
COMP 2150,A01 (25843),Object Orientation (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",John Anderson
COMP 2280,A01 (25844),Introduction to Computer Systems (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Noman Mohammed
COMP 2400,A02 (25845),Programming Paradigms (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",John Braico
COMP 2400,A01 (25846),Programming Paradigms (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Daniel Rea
COMP 2450,A02 (25848),Software Development 1 (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Patrick Dubois
COMP 2450,A01 (25847),Software Development 1 (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Franklin Bristow
COMP 3010,A02 (23408),Distributed Computing (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Timothy Zapp
COMP 3010,A01 (23407),Distributed Computing (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Zachary Havens
COMP 3020,A02 (14072),Human-Computer Interaction 1 (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Andrea Bunt
COMP 3020,A01 (10186),Human-Computer Interaction 1 (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",James Young
COMP 3030,A01 (10187),Automata Theory and Formal Languages (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Stephane Durocher
COMP 3190,A01 (10190),Introduction to Artificial Intelligence (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",John Anderson
COMP 3360,A01 (25850),Machine Learning Concepts and Usage (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Timothy Zapp
COMP 3360,A02 (25849),Machine Learning Concepts and Usage (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Christopher Henry
COMP 3380,A01 (24824),Databases Concepts and Usage (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Adam Pazdor
COMP 3380,A02 (15304),Databases Concepts and Usage (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",
COMP 4060,T06 (25851),Advanced Processor Design and Implementation (3),M,"Sep 03 - Dec 08, 14:30-15:45 (MW)",David Gerhard
COMP 4062,T16 (26310),Human-AI Interaction (3),M,"Sep 03 - Dec 08, 13:00-14:15 (MW)",Houda El Mimouni
COMP 4062,T11 (25901),Deep Learning (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Sadaf Salehkalaibar
COMP 4062,T09 (25899),Advanced Data Mining (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Carson Leung
COMP 4062,T10 (25900),Natural Language Processing (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Tristan Miller
COMP 4140,A01 (10213),Introduction to Cryptography and Cryptosystems (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Pakching Li
COMP 4350,A01 (23409),Software Engineering 2 (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Lauren Himbeault
COMP 4510,A01 (11128),Introduction to Parallel Computation (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Parimala Thulasiraman
COMP 4522,A01 (23411),Honours Project (6),M,Sep 03 - Dec 08,Michael Zapp
COMP 4522,A02 (24498),Honours Project (Part A) (3),M,Sep 03 - Dec 08,Michael Zapp
COMP 4550,A01 (23410),Real-Time Systems (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Michael Zapp
COMP 4620,A02 (23400),Professional Practice in Computer Science (3),M,"Sep 03 - Dec 08, 16:00-17:15 (TR)",Patrick Dubois
COMP 4620,A01 (23399),Professional Practice in Computer Science (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Christina Penner
COMP 4620,B01 (24647),Professional Practice in Computer Science (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Christina Penner
COMP 4710,A01 (10224),Introduction to Data Mining (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Carson Leung
COMP 4820,A01 (23767),Bioinformatics (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Olivier Tremblay-Savard
COMP 7210,A01 (22046),Research Methodologies (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Ruppa Thulasiram
