COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ANTH 1210,A01 (10557),Ancient Peoples and Places (3),M,"Sep 03 - Dec 08, 15:30-16:20 (MWF)",Jose Sanchez
ANTH 1210,A02 (10559),Ancient Peoples and Places (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Jose Sanchez
ANTH 1210,D01 (10789),Ancient Peoples and Places (3),DE,Sep 03 - Dec 08,Barbara Hewitt
ANTH 1210,A03 (10558),Ancient Peoples and Places (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Mahyar KhademiBami
ANTH 1220,D01 (12114),Socio-Cultural Anthropology (3),DE,Sep 03 - Dec 08,Alison Baker
ANTH 1220,A01 (11161),Socio-Cultural Anthropology (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Nicole Hayes
ANTH 1220,A02 (10560),Socio-Cultural Anthropology (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Md. Mahfuzar Rahman
ANTH 1220,A03 (12446),Socio-Cultural Anthropology (3),M,"Sep 03 - Dec 08, 14:30-15:20 (MWF)",Sölmundur Pálsson
ANTH 2000,D01 (22609),"Culture, Society, and Power (3)",DE,Sep 03 - Dec 08,Anna Fournier
ANTH 2000,A01 (16745),"Culture, Society, and Power (3)",M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Sölmundur Pálsson
ANTH 2020,A01 (22610),Relatedness in a Globalizing World (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Warren Clarke
ANTH 2060,A01 (25718),European Archaeology (D) (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",
ANTH 2100,A01 (12091),Introduction to Archaeology (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Mahyar KhademiBami
ANTH 2470,A01 (25719),Media Anthropology (3),M,"Sep 03 - Dec 08, 14:30-17:15 (M)",Kathleen Buddle
ANTH 2800,A01 (25720),Introduction to Biological Anthropology (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Jose Sanchez
ANTH 2860,A01 (12374),Evolution and Human Diversity (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Stacie Burke
ANTH 3380,A01 (25721),Anthropology and Contemporary Social Issues (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Warren Clarke
ANTH 3470,A01 (10568),History of Anthropology (3),M,"Sep 03 - Dec 08, 11:30-14:15 (M)",Nicole Hayes
ANTH 3720,A01 (25723),Demography of Past Populations (3),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Stacie Burke
ANTH 3930,A01 (23875),Ethnographic Research Methods (3),M,"Sep 03 - Dec 08, 11:30-14:15 (W)",Kathleen Buddle
ANTH 3960,A01 (26497),Cultural Heritage Stewardship (3),M,"Sep 03 - Dec 08, 11:30-14:15 (R)",Laura Kelvin
ANTH 4470,A01 (26335),Scientific Methods and Applications in Archaeology and Biological Anthropology (3),M,"Sep 03 - Dec 08, 11:30-14:15 (M)",Julia Gamble
ANTH 4780,T08 (25724),Anthropology and The Land (3),M,"Sep 03 - Dec 08, 11:30-14:15 (T)",Lara Rosenoff Gauvin
ANTH 4790,T13 (25726),Anthropology of the Material World (3),M,"Sep 03 - Dec 08, 08:30-11:15 (M)",Kent Fowler
ANTH 7000,A01 (12910),Professional Development in Anthropology (Part A) (0),M,"Sep 03 - Dec 08, 11:30-14:15 (F)",Kent Fowler
ANTH 7410,T11 (25727),Anthropology of the Material World (3),M,"Sep 03 - Dec 08, 08:30-11:15 (M)",Kent Fowler
ANTH 7470,A01 (26336),Scientific Methods and Applications in Archaeology and Biological Anthropology (3),M,"Sep 03 - Dec 08, 11:30-14:15 (M)",Julia Gamble
ANTH 7640,A01 (24725),Contemporary Anthropological Theory (3),M,"Sep 03 - Dec 08, 08:30-11:15 (W)",Fabiana Li
ANTH 7900,T24 (25728),Anthropology and The land (3),M,"Sep 03 - Dec 08, 11:30-14:15 (T)",Lara Rosenoff Gauvin
ANTH 7940,T11 (26692),Anti-Oppressive Research Methodologies (3),M,Sep 03 - Dec 08,Kathleen Buddle
ANTH 7940,T12 (26693),Anthropology and Gendering in Ghana (3),M,Sep 03 - Dec 08,Kathleen Buddle
ANTH 7940,T03 (26691),"Anti-Oppressive, Ecofeminist, and Land-Based Research (3)",M,Sep 03 - Dec 08,Kathleen Buddle
ARTS 1110,B11 (22513),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (R)",McNally Reimer
ARTS 1110,B15 (22517),Introduction to University (0),M,"Sep 03 - Dec 08, 11:30-12:45 (R)",Safron Blais
ARTS 1110,B13 (22515),Introduction to University (0),M,"Sep 03 - Dec 08, 20:30-21:45 (T)",Danendri Senanayake
ARTS 1110,B14 (22516),Introduction to University (0),M,"Sep 03 - Dec 08, 20:30-21:45 (T)",Abdulla Hil Aman Azmin
ARTS 1110,B16 (22518),Introduction to University (0),M,"Sep 03 - Dec 08, 11:30-12:45 (R)",Mohammad Amin Obohat
ARTS 1110,B22 (22524),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Amalia Santiago
ARTS 1110,B18 (22520),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Anselmo Vilanculo
ARTS 1110,B19 (22521),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Camilla Dascal
ARTS 1110,B20 (22522),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Kimia Taghavi
ARTS 1110,B21 (22523),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Rufaida Binta Hossain
ARTS 1110,B10 (22512),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (R)",Doménica Naranjo
ARTS 1110,B17 (22519),Introduction to University (0),M,"Sep 03 - Dec 08, 11:30-12:45 (R)",Eva Amanda Otavia Irma Leticia Stefania Maia Miranda
ARTS 1110,B09 (22511),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (R)",Cheyane Chambers
ARTS 1110,A02 (18123),Introduction to University (3),M,"Sep 03 - Dec 08, 14:30-15:45 (T)",Antoanela Denchuk
ARTS 1110,B07 (22509),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (R)",Madison Herget-Schmidt
ARTS 1110,B05 (22507),Introduction to University (0),M,"Sep 03 - Dec 08, 08:30-09:45 (R)",Morgan Dereniwski
ARTS 1110,B04 (22506),Introduction to University (0),M,"Sep 03 - Dec 08, 08:30-09:45 (R)",Meesam Ali
ARTS 1110,B03 (22505),Introduction to University (0),M,"Sep 03 - Dec 08, 08:30-09:45 (R)",Rayan Rahal
ARTS 1110,B01 (22503),Introduction to University (0),M,"Sep 03 - Dec 08, 08:30-09:45 (R)",Jessica Laus
ARTS 1110,A06 (18127),Introduction to University (3),M,"Sep 03 - Dec 08, 14:30-15:45 (R)",Miriam Unruh
ARTS 1110,A05 (18126),Introduction to University (3),M,"Sep 03 - Dec 08, 11:30-12:45 (T)",James Honeyford
ARTS 1110,A04 (18125),Introduction to University (3),M,"Sep 03 - Dec 08, 11:30-12:45 (T)",James Honeyford
ARTS 1110,A03 (18124),Introduction to University (3),M,"Sep 03 - Dec 08, 19:00-20:15 (T)",Timothy Podolsky
ARTS 1110,G07 (26211),Introduction to University (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Stephanie Olson
ARTS 1110,A01 (24916),Introduction to University (3),M,"Sep 03 - Dec 08, 08:30-09:45 (T)",Xuyang Li
ARTS 1110,B23 (26564),Introduction to University (0),M,"Sep 03 - Dec 08, 11:30-12:45 (R)",Martha Diabb Sanchez
ARTS 1110,B08 (22510),Introduction to University (0),M,"Sep 03 - Dec 08, 14:30-15:45 (R)",Yimeng Han
ARTS 1110,D01 (22525),Introduction to University (3),DE,Sep 03 - Dec 08,Golnaz Heidar Jamshidi
ARTS 1160,A01 (13116),Leadership: An Interdisciplinary Approach (3),M,"Sep 03 - Dec 08, 19:00-21:45 (T)",Heather Barkman
ARTS 3010,K01 (20387),Arts Co-operative Option 1 (1),WKT,Sep 03 - Dec 08,Laura Basilious
ARTS 3020,K01 (20388),Arts Co-operative Option 2 (1),WKT,Sep 03 - Dec 08,Laura Basilious
ARTS 3030,K01 (21444),Arts Co-operative Option 3 (1),WKT,Sep 03 - Dec 08,Laura Basilious
ASIA 1420,A01 (24848),Asian Civilizations to 1500 (B) (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Adrian Thieret
ASIA 1750,B02 (21671),Introduction to Korean (Part A) (0),M,"Sep 03 - Dec 08, 10:00-10:50 (M)",Haelee Cha
ASIA 1750,A02 (21670),Introduction to Korean (Part A) (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Hyekyung Song
ASIA 1750,B01 (18912),Introduction to Korean (Part A) (0),M,"Sep 03 - Dec 08, 10:00-10:50 (T)",Haelee Cha
ASIA 1750,A01 (11730),Introduction to Korean (Part A) (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Hyekyung Song
ASIA 1760,A01 (10710),Introduction to Chinese (Mandarin) (Part A) (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Shu Zhu
ASIA 1760,B01 (13068),Introduction to Chinese (Mandarin) (Part A) (0),M,"Sep 03 - Dec 08, 13:30-14:20 (R)",Linxiao Wang
ASIA 1760,A02 (12779),Introduction to Chinese (Mandarin) (Part A) (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Shu Zhu
ASIA 1760,B02 (13067),Introduction to Chinese (Mandarin) (Part A) (0),M,"Sep 03 - Dec 08, 14:30-15:20 (R)",Linxiao Wang
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 21 - Oct 21, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Sep 24 - Sep 24, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 01 - Oct 01, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 07 - Oct 07, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Sep 09 - Sep 09, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Sep 16 - Sep 16, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Nov 11 - Nov 11, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Nov 18 - Nov 18, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 28 - Oct 28, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Oct 14 - Oct 14, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Dec 02 - Dec 02, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Sep 30 - Sep 30, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Sep 23 - Sep 23, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B02 (10712),Introduction to Japanese (Part A) (0),M,"Nov 25 - Nov 25, 15:30-16:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Sep 17 - Sep 17, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 08 - Oct 08, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Dec 03 - Dec 03, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Nov 26 - Nov 26, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Nov 19 - Nov 19, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Nov 12 - Nov 12, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 29 - Oct 29, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 22 - Oct 22, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Oct 15 - Oct 15, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Sep 09 - Sep 09, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Sep 16 - Sep 16, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Sep 23 - Sep 23, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Sep 30 - Sep 30, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Nov 25 - Nov 25, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Dec 02 - Dec 02, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Nov 11 - Nov 11, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B04 (10714),Introduction to Japanese (Part A) (0),M,"Sep 10 - Sep 10, 17:00-17:50 (W)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 28 - Oct 28, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 21 - Oct 21, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Dec 02 - Dec 02, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Nov 25 - Nov 25, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Sep 09 - Sep 09, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Sep 16 - Sep 16, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Sep 23 - Sep 23, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 14 - Oct 14, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 07 - Oct 07, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 14 - Oct 14, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 21 - Oct 21, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Oct 28 - Oct 28, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Nov 11 - Nov 11, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Sep 30 - Sep 30, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,B01 (10711),Introduction to Japanese (Part A) (0),M,"Nov 18 - Nov 18, 13:30-14:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,A02 (10716),Introduction to Japanese (Part A) (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Yuhko Kayama
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Oct 07 - Oct 07, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,A05 (17643),Introduction to Japanese (Part A) (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Yukimi Mizuno
ASIA 1770,A01 (10715),Introduction to Japanese (Part A) (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Yukimi Mizuno
ASIA 1770,B05 (17645),Introduction to Japanese (Part A) (0),M,"Nov 18 - Nov 18, 14:30-15:20 (T)",Ryunosuke Yamaguchi
ASIA 1770,A04 (10717),Introduction to Japanese (Part A) (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Satoru Nakagawa
ASIA 2620,A01 (18911),Japanese Civilization (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Adrian Thieret
ASIA 2750,A01 (16076),Intermediate Korean (Part A) (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Jeonghee Jeong
ASIA 2750,B01 (18913),Intermediate Korean (Part A) (0),M,"Sep 03 - Dec 08, 11:30-12:20 (R)",Haelee Cha
ASIA 2760,A01 (10719),Intermediate Chinese (Mandarin) (Part A) (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Shu Zhu
ASIA 2760,B01 (18914),Intermediate Chinese (Mandarin) (Part A) (0),M,"Sep 03 - Dec 08, 14:30-15:20 (M)",Chi Man Brittany Chan
ASIA 2770,A01 (10722),Intermediate Japanese (Part A) (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Yuhko Kayama
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Sep 26 - Sep 26, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 10 - Oct 10, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 17 - Oct 17, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 24 - Oct 24, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 31 - Oct 31, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Nov 14 - Nov 14, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Nov 21 - Nov 21, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Nov 28 - Nov 28, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Dec 05 - Dec 05, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Oct 03 - Oct 03, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Sep 12 - Sep 12, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 2770,B01 (10720),Intermediate Japanese (Part A) (0),M,"Sep 19 - Sep 19, 09:30-10:20 (F)",Ryunosuke Yamaguchi
ASIA 3370,A01 (26306),The Strange and Fantastic in East Asian Culture (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Adrian Thieret
ASIA 3750,A01 (25825),Advanced Korean (Part A) (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Hyekyung Song
ASIA 3760,A01 (25826),Advanced Chinese (Mandarin) (Part A) (3),M,"Sep 03 - Dec 08, 15:30-16:20 (MWF)",Shu Zhu
ASIA 3770,A01 (24709),Advanced Japanese (Part A) (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Yuhko Kayama
CDN 1000,D01 (22603),Introduction to Canada (3),DE,Sep 03 - Dec 08,Olga Skarlato
CATH 1190,A01 (10757),Introduction to Catholic Studies (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Michael Caligiuri
CATH 1190,D01 (20401),Introduction to Catholic Studies (3),DE,Sep 03 - Dec 08,Daniel MacLeod
CATH 2600,A01 (26065),Pilgrimage and the Localization of Catholic Devotion (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Meredith Bacola
CLAS 1270,D01 (10704),Introduction to Ancient Greek Culture (3),DE,Sep 03 - Dec 08,Heather Barkman
CLAS 1270,A02 (18812),Introduction to Ancient Greek Culture (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Christopher Sampson
CLAS 1270,A01 (10013),Introduction to Ancient Greek Culture (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Keith Collins
CLAS 1280,D01 (10706),Introduction to Ancient Roman Culture (3),DE,Sep 03 - Dec 08,Harrison Grey
CLAS 1280,A01 (10014),Introduction to Ancient Roman Culture (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",Harrison Grey
CLAS 1520,D01 (18814),Greek and Roman Mythology (3),DE,Sep 03 - Dec 08,Harrison Grey
CLAS 1520,A01 (18813),Greek and Roman Mythology (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Keith Collins
CLAS 2210,A01 (25742),Women in Ancient Greece and Rome (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Lea Stirling
CLAS 2622,A01 (25743),Latin Literature in Translation (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Rory Egan
CLAS 2670,A01 (25744),Greek Art and Archaeology (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Mark Lawall
CLAS 3710,T12 (25745),Archaeology of the Roman Provinces (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Lea Stirling
CLAS 7000,A01 (20009),Proseminar in Classical Studies 1 (0),M,Sep 03 - Dec 08,Christopher Sampson
CLAS 7310,T11 (25746),Archaeology of the Roman Provinces (3),M,Sep 03 - Dec 08,Lea Stirling
GRK 1010,A01 (10009),Introduction to the Reading of Ancient Greek 1 (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Keith Collins
GRK 2700,A01 (16036),Intermediate Readings in Ancient Greek (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Christopher Sampson
GRK 3830,A01 (25747),The Greek Historians (3),M,Sep 03 - Dec 08,Christopher Sampson
GRK 7100,T10 (25748),Herodotus (3),M,Sep 03 - Dec 08,Christopher Sampson
LATN 1080,A02 (12736),Introduction to the Reading of Latin 1 (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Robert Nau
LATN 2700,A01 (16038),Intermediate Readings in Latin (3),M,"Sep 03 - Dec 08, 15:30-16:20 (MWF)",Robert Nau
LATN 3932,T07 (25749),Cicero: On Friendship (3),M,"Sep 03 - Dec 08, 16:30-17:20 (MWF)",Robert Nau
LATN 7200,T10 (25750),Cicero: De Amicitia and De Natura Deorum (3),M,Sep 03 - Dec 08,Robert Nau
ECON 1010,A03 (11712),Introduction to Microeconomic Principles (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Md. Aslam Hossain
ECON 1010,A04 (11713),Introduction to Microeconomic Principles (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Atish Kumar Neogi
ECON 1010,A05 (11714),Introduction to Microeconomic Principles (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Elizabeth Troutt
ECON 1010,D01 (11789),Introduction to Microeconomic Principles (3),DE,Sep 03 - Dec 08,Atish Kumar Neogi
ECON 1010,D02 (20130),Introduction to Microeconomic Principles (3),DE,Sep 03 - Dec 08,Deepthi Mohan
ECON 1010,A02 (11949),Introduction to Microeconomic Principles (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Elizabeth Troutt
ECON 1010,A01 (11715),Introduction to Microeconomic Principles (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Maryam Afandak
ECON 1020,A03 (22309),Introduction to Macroeconomic Principles (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Mijeong Ko
ECON 1020,D01 (14387),Introduction to Macroeconomic Principles (3),DE,Sep 03 - Dec 08,Md. Aslam Hossain
ECON 1020,A01 (12448),Introduction to Macroeconomic Principles (3),M,"Sep 03 - Dec 08, 08:30-09:20 (MWF)",Mehmet Oguzoglu
ECON 1020,A02 (11980),Introduction to Macroeconomic Principles (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Mehmet Oguzoglu
ECON 1020,D02 (20509),Introduction to Macroeconomic Principles (3),DE,Sep 03 - Dec 08,Md. Alauddin
ECON 1210,A01 (15845),Introduction to Canadian Economic Issues and Policies (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Deepthi Mohan
ECON 2010,A01 (12941),Microeconomic Theory 1 (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Md. Alauddin
ECON 2010,A03 (24038),Microeconomic Theory 1 (3),M,"Sep 03 - Dec 08, 12:30-13:20 (MWF)",Mijeong Ko
ECON 2010,A02 (12942),Microeconomic Theory 1 (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Shayne St Denis
ECON 2010,D01 (13269),Microeconomic Theory 1 (3),DE,Sep 03 - Dec 08,Maryam Afandak
ECON 2020,D01 (13270),Macroeconomic Theory 1 (3),DE,Sep 03 - Dec 08,Mohammad Saquib Hasan
ECON 2020,A01 (12944),Macroeconomic Theory 1 (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Carlos Yepez
ECON 2020,A02 (15846),Macroeconomic Theory 1 (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Shayan Haghighat Javan
ECON 2030,A02 (20132),Mathematical Economics 1 (3),M,"Sep 03 - Dec 08, 08:30-09:45 (TR)",Zheting Zhu
ECON 2030,A01 (12945),Mathematical Economics 1 (3),M,"Sep 03 - Dec 08, 16:00-17:15 (TR)",Hikmet Gunay
ECON 2040,A02 (12947),Quantitative Methods in Economics (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Rashed Ahmed
ECON 2040,D01 (16258),Quantitative Methods in Economics (3),DE,Sep 03 - Dec 08,Zheting Zhu
ECON 2040,A01 (22312),Quantitative Methods in Economics (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Janelle Mann
ECON 2362,A02 (25751),Economics of Gender (3),M,"Sep 03 - Dec 08, 13:30-14:20 (MWF)",Arpita Biswas
ECON 2362,A01 (22314),Economics of Gender (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Arpita Biswas
ECON 2390,A02 (24039),Introduction to Environmental Economics (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Soodeh Saberian Ranjbar
