COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
LAW 3982,T07 (65696),Sport II Torts and Criminal Liability (3),M,"Jan 06 - Apr 09, 09:00-11:50 (R)",Martine Dennie
LAW 3990,A01 (62821),Externship (Part B) (6),M,"Jan 06 - Apr 09, 12:00-13:50 (TR)",Elizabeth McCandless
LAW 3990,A02 (60469),Externship (Part B) (6),M,Jan 06 - Apr 09,Elizabeth McCandless
LAW 3990,A05 (66117),Externship (6),M,Jan 06 - Apr 09,Elizabeth McCandless
LAW 3990,A04 (58043),Externship (Part B) (6),M,Jan 06 - Apr 09,Elizabeth McCandless
LAW 3990,A03 (62822),Externship (Part B) (6),M,Jan 06 - Apr 09,Elizabeth McCandless
LAW 7002,A01 (65592),Capstone seminar (3),M,"Jan 06 - Apr 09, 14:00-16:50 (T)",Mary Shariff
LAW 7120,T25 (66138),Research Paper in Law II (3),M,Jan 06 - Apr 09,Richard Jochelson
LAW 7130,T04 (66088),Charter Issues in Criminal Law (3),M,"Jan 06 - Apr 09, 18:00-20:50 (T)",John Burchill
LAW 7130,T26 (66126),Securities Law (3),M,"Jan 06 - Apr 09, 13:00-15:50 (W)",Donald Macdonald
LAW 7130,T25 (66125),Indigenous Legal Orders (3),M,"Jan 06 - Apr 09, 14:00-16:50 (R)",Daniel Diamond
LAW 7130,T24 (66107),Sport II Torts and Criminal Liability (3),M,"Jan 06 - Apr 09, 09:00-11:50 (R)",Martine Dennie
LAW 7130,T23 (66106),Access to Justice (3),M,"Jan 06 - Apr 09, 13:00-15:50 (W)",Natasha Brown
LAW 7130,T05 (66089),Philanthropy and the Law (3),M,"Jan 06 - Apr 09, 09:00-11:50 (M)",Mary Gallant
LAW 7130,T15 (66093),Intellectual Property Law (3),M,"Jan 06 - Apr 09, 09:00-11:50 (W)",Silvia De Sousa
