COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ARCH 7010,T01 (53450),Making Architecture Great Again (1.5),M,"Feb 25 - Mar 25, 08:30-12:20 (W)",Brian Rex
ARCH 7020,T01 (66184),Ensh**ttification (1.5),M,"Jan 07 - Feb 04, 09:30-13:20 (W)",Rebecca Loewen
ARCH 7030,T02 (66185),Flirting with Fascism (1.5),M,"Feb 25 - Mar 25, 13:30-17:20 (W)",Ralph Stern
ARCH 7030,T01 (53452),CONTEMPORARY (1.5),M,"Feb 25 - Mar 25, 08:30-12:20 (W)",Carlos Rueda Plata
ARCH 7060,A02 (51279),Arch Studio 6 (9),M,"Jan 06 - Apr 09, 08:30-16:15 (MR)",Brian Rex
ARCH 7060,A01 (51278),Arch Studio 6 (9),M,"Jan 06 - Apr 09, 08:30-16:15 (MR)",Neil Minuk
ARCH 7060,A03 (51280),Arch Studio 6 (9),M,"Jan 06 - Apr 09, 08:30-16:15 (MR)",Liane Veness
ARCH 7080,A01 (51275),Technology Thesis Report (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Shawn Bailey
ARCH 7350,A01 (50420),Legal Aspects of Architectural Practice (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",TBA
ARCH 7350,A01 (50420),Legal Aspects of Architectural Practice (3),M,"Jan 06 - Apr 09, 12:00-13:15 (T)",TBA
ARCG 7070,T32 (56893),Interdiscplinary Design (3),M,"Jan 06 - Apr 09, 17:30-20:20 (M)",Neil Minuk
ARCG 7070,T32 (56893),Interdiscplinary Design (3),M,"Jan 06 - Apr 09, 14:30-15:20 (W)",Neil Minuk
ARCG 7080,T77 (64492),Urban Development Processes and Tools (3),M,"Jan 06 - Apr 09, 18:00-20:45 (W)",TBA
ARCG 7080,T44 (59934),Transportation and Urban Form (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Orly Linovski
ARCG 7250,K01 (62825),Cooperative Education / Integrated Work Term 2 (0),WKT,Jan 06 - Apr 09,TBA
CITY 7020,A01 (51274),Planning Research Methods (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Raphael Ayambire
CITY 7050,A01 (57715),Capstone Project (Part B) (3),M,"Jan 06 - Apr 09, 13:00-16:00 (W)",Sarah Cooper
CITY 7420,A01 (50423),Planning Design 2 (6),M,"Jan 06 - Apr 09, 08:30-11:15 (R)",Raphael Ayambire
CITY 7420,A01 (50423),Planning Design 2 (6),M,"Jan 06 - Apr 09, 13:00-17:15 (TR)",Raphael Ayambire
CITY 7440,A01 (63294),Planning Design 4 (Part B) (3),M,"Jan 06 - Apr 09, 13:00-16:00 (TR)",Sarah Cooper
CITY 7470,A01 (50424),Professional Planning Practice (3),M,"Jan 06 - Apr 09, 18:00-21:50 (R)",TBA
EVAR 3002,A01 (55223),Pre-Modern Architectural History and Theory II (3),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",TBA
EVAR 3006,A01 (51257),"Architectural Technology 2 – Building Construction, Structures and Envelopes (3)",M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Liane Veness
EVAR 3010,A01 (51258),Architecture Design Studio 2 (9),M,"Jan 06 - Apr 09, 13:30-16:15 (MR)",Terri Fuglem
EVAR 3010,A01 (51258),Architecture Design Studio 2 (9),M,"Jan 06 - Apr 09, 08:30-11:15 (MR)",Terri Fuglem
EVAR 4008,A01 (51261),Architectural Technology 4 - Comprehensive Design Technology Report (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Neil Minuk
EVAR 4010,A03 (51264),Architecture Design Studio 4 (9),M,"Jan 06 - Apr 09, 08:30-16:15 (MR)",Maria Garcia Holguera
EVAR 4010,A04 (51265),Architecture Design Studio 4 (9),M,"Jan 06 - Apr 09, 08:30-16:15 (MR)",Shawn Bailey
EVAR 4010,A02 (51263),Architecture Design Studio 4 (9),M,"Jan 06 - Apr 09, 08:30-16:15 (MR)",Lancelot Coar
EVAR 4010,A01 (51262),Architecture Design Studio 4 (9),M,"Jan 06 - Apr 09, 08:30-16:15 (MR)",Carlos Rueda Plata
EVDS 1600,D01 (63952),Introduction to Environmental Design (3),DE,Jan 06 - Apr 09,TBA
EVDS 1600,A02 (56341),Introduction to Environmental Design (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",TBA
EVDS 1602,A02 (51105),Visual Literacy (3),M,"Jan 06 - Apr 09, 11:30-14:15 (W)",TBA
EVDS 1602,D01 (63953),Visual Literacy (3),DE,Jan 06 - Apr 09,TBA
EVDS 1660,A01 (58155),"History of Culture, Ideas and Environment 1 (3)",M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
EVDS 1660,D01 (63954),"History of Culture, Ideas and Environment 1 (3)",DE,Jan 06 - Apr 09,TBA
EVDS 1670,A02 (51104),"History of Culture, Ideas and Environment 2 (3)",M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
EVDS 1670,D01 (63955),"History of Culture, Ideas and Environment 2 (3)",DE,Jan 06 - Apr 09,TBA
EVDS 1680,D01 (63956),Environmental Technology (3),DE,Jan 06 - Apr 09,TBA
EVDS 1680,A02 (58183),Environmental Technology (3),M,"Jan 06 - Apr 09, 11:30-14:15 (W)",TBA
EVDS 2200,A01 (51627),Ecology and Design (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Leanne Muir
